date,open,high,low,close,volume
2013-06-18,0.95545,0.9573,0.94392,0.94634,167865
2013-06-19,0.94634,0.95555,0.92591,0.92786,220995
2013-06-20,0.92786,0.93117,0.91622,0.91942,274382
2013-06-21,0.91942,0.9258,0.91813,0.92121,212122
2013-06-23,0.92018,0.92506,0.92018,0.92416,13272
2013-06-24,0.92416,0.92979,0.91469,0.92744,251465
2013-06-25,0.92744,0.9296,0.91958,0.92462,216575
2013-06-26,0.92461,0.93436,0.92346,0.92874,205517
2013-06-27,0.92874,0.93379,0.92449,0.92609,178027
2013-06-28,0.92609,0.9282,0.91122,0.9139,188777
2013-06-30,0.91067,0.91473,0.91067,0.91403,9289
2013-07-01,0.91403,0.92521,0.91338,0.92414,163877
2013-07-02,0.92414,0.92489,0.91293,0.91385,202136
2013-07-03,0.91384,0.9189,0.90348,0.91151,221973
2013-07-04,0.9115,0.91797,0.90722,0.91498,174429
2013-07-05,0.91497,0.91791,0.90473,0.90549,150822
2013-07-07,0.9048,0.90667,0.9041,0.90417,7672
2013-07-08,0.90417,0.91439,0.90406,0.9119,119170
2013-07-09,0.9119,0.91999,0.90816,0.91539,163964
2013-07-10,0.91538,0.92985,0.90909,0.9235,234254
2013-07-11,0.9235,0.93043,0.91181,0.91643,248984
2013-07-12,0.91643,0.91869,0.89972,0.90473,170407
2013-07-14,0.90655,0.90932,0.90606,0.90852,9817
2013-07-15,0.90851,0.91208,0.90348,0.90892,166286
2013-07-16,0.90891,0.92596,0.90884,0.92454,183910
2013-07-17,0.92454,0.92911,0.91904,0.92346,190642
2013-07-18,0.92346,0.92408,0.91367,0.91786,155880
2013-07-19,0.91784,0.92341,0.91544,0.91769,134071
2013-07-21,0.9174,0.92203,0.917,0.92194,8112
2013-07-22,0.92193,0.92691,0.91844,0.92557,128580
2013-07-23,0.92557,0.92984,0.92216,0.92855,184969
2013-07-24,0.92857,0.93172,0.91275,0.91315,249217
2013-07-25,0.91315,0.92804,0.91306,0.92353,218588
2013-07-26,0.92354,0.92945,0.92266,0.92608,173390
2013-07-28,0.9246,0.92815,0.9245,0.92521,10175
2013-07-29,0.92521,0.92859,0.91765,0.9199,182468
2013-07-30,0.9199,0.9205,0.90428,0.90702,184382
2013-07-31,0.90701,0.90702,0.89238,0.89508,240833
2013-08-01,0.89507,0.89917,0.89062,0.89375,194287
2013-08-02,0.89374,0.8969,0.88693,0.89014,191550
2013-08-04,0.89106,0.89207,0.88997,0.8903,9139
2013-08-05,0.89031,0.89416,0.88468,0.89112,152392
2013-08-06,0.89113,0.90043,0.89057,0.89847,180205
2013-08-07,0.89848,0.90243,0.89186,0.90044,171521
2013-08-08,0.90044,0.91337,0.89704,0.91065,206694
2013-08-09,0.91065,0.92136,0.90843,0.91959,141911
2013-08-11,0.9186,0.91981,0.91719,0.91757,6096
2013-08-12,0.91757,0.92201,0.91104,0.91111,143846
2013-08-13,0.91117,0.91477,0.90725,0.90964,166460
2013-08-14,0.90965,0.91591,0.90806,0.91443,145201
2013-08-15,0.91443,0.91888,0.90579,0.91315,208433
2013-08-16,0.91315,0.92139,0.91304,0.91806,152343
2013-08-18,0.91794,0.9211,0.91794,0.91957,11993
2013-08-19,0.91957,0.92324,0.91015,0.91133,175491
2013-08-20,0.91133,0.9121,0.9026,0.90562,198499
2013-08-21,0.90565,0.90573,0.89642,0.89662,227374
2013-08-22,0.89662,0.90424,0.89309,0.90144,210091
2013-08-23,0.90144,0.90492,0.89702,0.90234,168146
2013-08-25,0.90287,0.90352,0.90199,0.90261,7116
2013-08-26,0.9026,0.90687,0.90021,0.90089,127834
2013-08-27,0.90087,0.90092,0.89243,0.89421,182526
2013-08-28,0.89421,0.89686,0.88917,0.89442,184617
2013-08-29,0.89443,0.89776,0.89001,0.89241,163502
2013-08-30,0.8924,0.89568,0.88912,0.89019,142279
2013-09-01,0.89374,0.89409,0.89231,0.8936,9516
2013-09-02,0.89359,0.90129,0.89353,0.89964,133481
2013-09-03,0.89965,0.90714,0.89709,0.9052,179581
2013-09-04,0.90519,0.91867,0.90362,0.91673,163512
2013-09-05,0.91674,0.91869,0.91148,0.91186,159456
2013-09-06,0.91185,0.92159,0.91157,0.91886,139694
2013-09-08,0.91957,0.9211,0.91869,0.91895,8028
2013-09-09,0.91895,0.92409,0.91664,0.92285,127770
2013-09-10,0.92284,0.93181,0.92283,0.9298,157904
2013-09-11,0.92981,0.93384,0.92754,0.93316,148738
2013-09-12,0.93316,0.93531,0.92257,0.92627,163594
2013-09-13,0.92627,0.92659,0.92225,0.92435,126669
2013-09-15,0.93204,0.93885,0.93156,0.93218,16853
2013-09-16,0.93217,0.93861,0.93042,0.93179,129465
2013-09-17,0.93179,0.93652,0.92839,0.93515,127017
2013-09-18,0.93516,0.95275,0.93349,0.94934,175727
2013-09-19,0.94935,0.95232,0.94263,0.94432,175914
2013-09-20,0.94431,0.94573,0.93767,0.93953,131617
2013-09-22,0.93589,0.94019,0.93544,0.93989,8643
2013-09-23,0.93989,0.94561,0.93809,0.94182,129649
2013-09-24,0.94183,0.94184,0.93626,0.93814,129773
2013-09-25,0.93814,0.93926,0.93374,0.93607,125969
2013-09-26,0.93606,0.94007,0.93392,0.93561,120794
2013-09-27,0.93561,0.93738,0.92963,0.93138,121379
2013-09-29,0.93072,0.93223,0.92856,0.92972,11349
2013-09-30,0.92972,0.93535,0.92796,0.93216,140222
2013-10-01,0.93215,0.94345,0.92865,0.93918,163938
2013-10-02,0.93918,0.94074,0.93326,0.93834,141678
2013-10-03,0.93834,0.94143,0.93658,0.93992,143567
2013-10-04,0.93994,0.94576,0.93994,0.94293,102119
2013-10-06,0.9435,0.94409,0.94245,0.94397,6646
2013-10-07,0.94399,0.94485,0.93871,0.94308,106162
2013-10-08,0.9431,0.94836,0.94104,0.94491,133863
2013-10-09,0.9449,0.94634,0.94122,0.94476,138855
2013-10-10,0.94476,0.94716,0.93882,0.94539,144434
2013-10-11,0.9454,0.94838,0.94428,0.94631,110582
2013-10-13,0.94243,0.94458,0.94243,0.94454,9063
2013-10-14,0.94455,0.95133,0.94333,0.95114,104152
2013-10-15,0.95115,0.95465,0.94976,0.95382,138808
2013-10-16,0.95382,0.95673,0.95038,0.95412,138639
2013-10-17,0.95412,0.9646,0.95263,0.9616,166649
2013-10-18,0.96158,0.96763,0.96033,0.96737,113540
2013-10-20,0.96693,0.96741,0.96585,0.96595,7459
2013-10-21,0.96595,0.9678,0.96413,0.96504,91806
2013-10-22,0.96504,0.97296,0.96426,0.97004,105192
2013-10-23,0.97006,0.97569,0.96062,0.96406,156230
2013-10-24,0.96406,0.96698,0.95708,0.96159,131290
2013-10-25,0.96159,0.9623,0.95713,0.95811,105220
2013-10-27,0.95758,0.95981,0.95758,0.95966,5511
2013-10-28,0.95965,0.96214,0.95293,0.95418,97449
2013-10-29,0.95416,0.95459,0.94707,0.94774,134137
2013-10-30,0.94774,0.95152,0.94403,0.94646,138201
2013-10-31,0.94647,0.95245,0.94416,0.94614,151931
2013-11-01,0.94614,0.94885,0.94207,0.94344,121881
2013-11-03,0.94543,0.94669,0.9443,0.94665,6573
2013-11-04,0.94666,0.95147,0.94588,0.951,105860
2013-11-05,0.951,0.95365,0.94625,0.9497,134762
2013-11-06,0.94969,0.95425,0.94852,0.95246,113458
2013-11-07,0.95245,0.95253,0.9438,0.94539,174807
2013-11-08,0.9454,0.94797,0.93516,0.938,155181
2013-11-10,0.93834,0.93866,0.9367,0.93692,4579
2013-11-11,0.93692,0.93895,0.93432,0.93629,91156
2013-11-12,0.93629,0.93672,0.92673,0.93008,130203
2013-11-13,0.93008,0.93724,0.92775,0.93617,126413
2013-11-14,0.93617,0.93854,0.92802,0.93063,143820
2013-11-15,0.93062,0.93737,0.93047,0.93681,102240
2013-11-17,0.93742,0.93756,0.93624,0.93678,3908
2013-11-18,0.93678,0.94178,0.93576,0.93663,115941
2013-11-19,0.93664,0.94472,0.93512,0.94397,138134
2013-11-20,0.94395,0.94402,0.93151,0.93284,166057
2013-11-21,0.93285,0.93325,0.91973,0.92272,174381
2013-11-22,0.92273,0.92483,0.91423,0.91663,130365
2013-11-24,0.91612,0.91784,0.91612,0.91639,6818
2013-11-25,0.91639,0.91951,0.91191,0.91948,120818
2013-11-26,0.91948,0.92033,0.90868,0.91187,136470
2013-11-27,0.91187,0.91368,0.90641,0.9082,128853
